gene_name,genome_wide_copies,gene_biotype,chromosomes,num_chromosomes
MIX23P2,1,pseudogene,chr10,1
PRKG1,1,protein_coding,chr10,1
LOC102724719,1,lncRNA,chr10,1
MIR605,1,miRNA,chr10,1
RSU1P3,1,pseudogene,chr10,1
CSTF2T,1,protein_coding,chr10,1
LOC124902425,1,lncRNA,chr10,1
PRKG1-AS1,1,lncRNA,chr10,1
DKK1,1,protein_coding,chr10,1
RPL31P44,1,pseudogene,chr10,1
THAP12P3,1,pseudogene,chr10,1
LNCAROD,1,lncRNA,chr10,1
LOC124902426,1,lncRNA,chr10,1
LOC105378305,1,lncRNA,chr10,1
MBL2,1,protein_coding,chr10,1
LOC105378306,1,lncRNA,chr10,1
LOC105378307,1,lncRNA,chr10,1
LOC105378308,1,lncRNA,chr10,1
SNRPEP8,1,pseudogene,chr10,1
LOC105378310,1,lncRNA,chr10,1
RNA5SP318,1,pseudogene,chr10,1
PCDH15,1,protein_coding,chr10,1
RNU6-687P,1,pseudogene,chr10,1
LOC105378311,1,lncRNA,chr10,1
NEFMP1,1,pseudogene,chr10,1
MIR548F1,1,miRNA,chr10,1
LOC124902580,1,snoRNA,chr10,1
MTRNR2L5,1,pseudogene,chr10,1
GAPDHP21,1,pseudogene,chr10,1
LOC100419872,1,pseudogene,chr10,1
ZWINT,1,protein_coding,chr10,1
LOC124902546,1,lncRNA,chr10,1
LOC124900300,1,snoRNA,chr10,1
MIR3924,1,miRNA,chr10,1
LOC105378313,1,lncRNA,chr10,1
LOC105378314,1,lncRNA,chr10,1
LOC124902547,1,lncRNA,chr10,1
MRPS35P3,1,pseudogene,chr10,1
IPMK,1,protein_coding,chr10,1
TPT1P10,1,pseudogene,chr10,1
LOC124902578,1,snoRNA,chr10,1
CISD1,1,protein_coding,chr10,1
LOC112268068,1,lncRNA,chr10,1
UBE2D1,1,protein_coding,chr10,1
TFAM,1,protein_coding,chr10,1
LOC105378316,1,lncRNA,chr10,1
LOC124902427,1,lncRNA,chr10,1
BICC1,1,protein_coding,chr10,1
FAM133CP,1,transcribed_pseudogene,chr10,1
RN7SKP196,1,pseudogene,chr10,1
LINC00844,1,lncRNA,chr10,1
LOC102724768,1,lncRNA,chr10,1
RPLP1P10,1,pseudogene,chr10,1
TRAF6P1,1,pseudogene,chr10,1
PHYHIPL,1,protein_coding,chr10,1
CCEPR,1,lncRNA,chr10,1
FAM13C,1,protein_coding,chr10,1
LOC124902429,1,lncRNA,chr10,1
LOC102724778,1,lncRNA,chr10,1
LOC124902428,1,lncRNA,chr10,1
LOC107984235,1,lncRNA,chr10,1
MRPL50P4,1,pseudogene,chr10,1
LOC105378318,1,lncRNA,chr10,1
LOC105378319,1,lncRNA,chr10,1
SLC16A9,1,protein_coding,chr10,1
MRLN,1,protein_coding,chr10,1
CCDC6,1,protein_coding,chr10,1
LINC01553,1,lncRNA,chr10,1
ANK3,1,protein_coding,chr10,1
LOC124902430,1,lncRNA,chr10,1
ARL4AP1,1,pseudogene,chr10,1
ANK3-DT,1,lncRNA,chr10,1
CDK1,1,protein_coding,chr10,1
RHOBTB1,1,protein_coding,chr10,1
LOC124902432,1,lncRNA,chr10,1
RNU2-72P,1,pseudogene,chr10,1
LOC124902431,1,lncRNA,chr10,1
LOC107984236,1,lncRNA,chr10,1
LOC124902433,1,lncRNA,chr10,1
LINC00845,1,lncRNA,chr10,1
LOC124902434,1,lncRNA,chr10,1
LOC105378323,1,lncRNA,chr10,1
LOC124900292,1,pseudogene,chr10,1
TMEM26,1,protein_coding,chr10,1
TMEM26-AS1,1,lncRNA,chr10,1
LOC124902548,1,lncRNA,chr10,1
LOC124902535,1,lncRNA,chr10,1
CABCOCO1,1,protein_coding,chr10,1
LINC02625,1,lncRNA,chr10,1
ARID5B,1,protein_coding,chr10,1
LOC124902435,1,lncRNA,chr10,1
RTKN2,1,protein_coding,chr10,1
LOC283045,1,lncRNA,chr10,1
RN7SL591P,1,pseudogene,chr10,1
ZNF365,1,protein_coding,chr10,1
LOC105378327,1,lncRNA,chr10,1
LOC124902436,1,protein_coding,chr10,1
ALDH7A1P4,1,pseudogene,chr10,1
LOC124902437,1,lncRNA,chr10,1
ADO,1,protein_coding,chr10,1
EGR2,1,protein_coding,chr10,1
LOC107984012,1,lncRNA,chr10,1
RNU6-543P,1,pseudogene,chr10,1
LOC105378328,1,lncRNA,chr10,1
NRBF2,1,protein_coding,chr10,1
JMJD1C,1,protein_coding,chr10,1
TATDN1P1,1,pseudogene,chr10,1
LOC124900287,1,lncRNA,chr10,1
MIR1296,1,miRNA,chr10,1
PRELID1P3,1,pseudogene,chr10,1
JMJD1C-AS2,1,lncRNA,chr10,1
JMJD1C-AS1,1,lncRNA,chr10,1
REEP3,1,protein_coding,chr10,1
LOC105378329,1,lncRNA,chr10,1
MRPL35P2,1,pseudogene,chr10,1
LOC107984238,1,lncRNA,chr10,1
LOC101929846,1,lncRNA,chr10,1
LOC124902438,1,lncRNA,chr10,1
LOC101928859,1,lncRNA,chr10,1
LOC124902439,1,lncRNA,chr10,1
RPL7AP50,1,pseudogene,chr10,1
LOC100420828,1,pseudogene,chr10,1
LOC105378333,1,lncRNA,chr10,1
DBF4P1,1,pseudogene,chr10,1
LOC105378335,1,lncRNA,chr10,1
RPL17P35,1,pseudogene,chr10,1
LOC107984239,1,lncRNA,chr10,1
CYP2C61P,1,pseudogene,chr10,1
LOC105378336,1,lncRNA,chr10,1
ANXA2P3,1,transcribed_pseudogene,chr10,1
LINC02671,1,lncRNA,chr10,1
LOC102724863,1,lncRNA,chr10,1
NEK4P3,1,pseudogene,chr10,1
MYL6P3,1,pseudogene,chr10,1
LOC100421870,1,pseudogene,chr10,1
LOC105378337,1,lncRNA,chr10,1
LINC01515,1,lncRNA,chr10,1
LOC105378339,1,lncRNA,chr10,1
CTNNA3,1,protein_coding,chr10,1
LOC105378340,1,lncRNA,chr10,1
LOC124902440,1,lncRNA,chr10,1
LOC124902441,1,lncRNA,chr10,1
LOC124902584,1,snoRNA,chr10,1
LOC101928961,1,lncRNA,chr10,1
LRRTM3,1,protein_coding,chr10,1
RPL7AP51,1,pseudogene,chr10,1
MIR7151,1,miRNA,chr10,1
AKR1B10P1,1,pseudogene,chr10,1
TRS-TGA1-1,1,tRNA,chr10,1
RPL21P92,1,pseudogene,chr10,1
DNAJC12,1,protein_coding,chr10,1
RNU6-1250P,1,pseudogene,chr10,1
RN7SL394P,1,pseudogene,chr10,1
DNAJC19P1,1,pseudogene,chr10,1
RNU6-523P,1,pseudogene,chr10,1
RPL12P8,1,pseudogene,chr10,1
SIRT1,1,protein_coding,chr10,1
HERC4,1,protein_coding,chr10,1
RPS3AP38,1,pseudogene,chr10,1
RN7SL220P,1,pseudogene,chr10,1
POU5F1P5,1,transcribed_pseudogene,chr10,1
LOC124902442,1,lncRNA,chr10,1
MYPN,1,protein_coding,chr10,1
LOC107984240,1,lncRNA,chr10,1
RN7SKP202,1,pseudogene,chr10,1
LOC124902443,1,lncRNA,chr10,1
LOC124902593,1,pseudogene,chr10,1
ATOH7,1,protein_coding,chr10,1
LINC02640,1,lncRNA,chr10,1
KRT19P4,1,pseudogene,chr10,1
PBLD,1,protein_coding,chr10,1
HNRNPH3,1,protein_coding,chr10,1
RUFY2,1,protein_coding,chr10,1
DNA2,1,protein_coding,chr10,1
RPL26P29,1,pseudogene,chr10,1
RNA5SP319,1,pseudogene,chr10,1
SLC25A16,1,protein_coding,chr10,1
RPL26P27,1,pseudogene,chr10,1
TMEM14DP,1,pseudogene,chr10,1
TET1,1,protein_coding,chr10,1
COX20P1,1,pseudogene,chr10,1
RPS3AP37,1,pseudogene,chr10,1
LOC124902592,1,pseudogene,chr10,1
CCAR1,1,protein_coding,chr10,1
SNORD98,1,snoRNA,chr10,1
STOX1,1,protein_coding,chr10,1
RNU6-697P,1,pseudogene,chr10,1
DDX50,1,protein_coding,chr10,1
RNU6-571P,1,pseudogene,chr10,1
DDX21,1,protein_coding,chr10,1
KIFBP,1,protein_coding,chr10,1
MED28P1,1,pseudogene,chr10,1
ACTBP14,1,pseudogene,chr10,1
LOC105378342,1,lncRNA,chr10,1
SRGN,1,protein_coding,chr10,1
VPS26A,1,protein_coding,chr10,1
RPS12P17,1,pseudogene,chr10,1
SUPV3L1,1,protein_coding,chr10,1
LOC101928994,1,lncRNA,chr10,1
HKDC1,1,protein_coding,chr10,1
HK1,1,protein_coding,chr10,1
RPS15AP28,1,pseudogene,chr10,1
TACR2,1,protein_coding,chr10,1
ATP5MC1P7,1,pseudogene,chr10,1
TSPAN15,1,protein_coding,chr10,1
TMEM256P1,1,pseudogene,chr10,1
LOC105378345,1,lncRNA,chr10,1
NEUROG3,1,protein_coding,chr10,1
LOC101929021,1,lncRNA,chr10,1
MTATP6P23,1,pseudogene,chr10,1
MTCO2P23,1,pseudogene,chr10,1
MTCO1P23,1,pseudogene,chr10,1
MTND2P15,1,pseudogene,chr10,1
MTND1P20,1,pseudogene,chr10,1
FAM241B,1,protein_coding,chr10,1
LINC02651,1,lncRNA,chr10,1
RPL5P26,1,pseudogene,chr10,1
LOC124902444,1,lncRNA,chr10,1
COL13A1,1,protein_coding,chr10,1
LOC105378347,1,lncRNA,chr10,1
LOC107984242,1,lncRNA,chr10,1
LINC02636,1,lncRNA,chr10,1
MACROH2A2,1,protein_coding,chr10,1
AIFM2,1,protein_coding,chr10,1
TYSND1,1,protein_coding,chr10,1
SAR1A,1,protein_coding,chr10,1
CALM2P2,1,pseudogene,chr10,1
RPS25P9,1,pseudogene,chr10,1
PPA1,1,protein_coding,chr10,1
NPFFR1,1,protein_coding,chr10,1
LRRC20,1,protein_coding,chr10,1
CEP57L1P1,1,pseudogene,chr10,1
EIF4EBP2,1,protein_coding,chr10,1
NODAL,1,protein_coding,chr10,1
PALD1,1,protein_coding,chr10,1
YY1P1,1,pseudogene,chr10,1
PRF1,1,protein_coding,chr10,1
ADAMTS14,1,protein_coding,chr10,1
TBATA,1,protein_coding,chr10,1
RPS26P40,1,pseudogene,chr10,1
SGPL1,1,protein_coding,chr10,1
PCBD1,1,protein_coding,chr10,1
LINC02622,1,lncRNA,chr10,1
LOC105378350,1,lncRNA,chr10,1
LOC105378351,1,lncRNA,chr10,1
UNC5B,1,protein_coding,chr10,1
UNC5B-AS1,1,lncRNA,chr10,1
LOC112268061,1,lncRNA,chr10,1
LOC124902445,1,lncRNA,chr10,1
SLC29A3,1,protein_coding,chr10,1
LOC124902574,1,snoRNA,chr10,1
LOC105378353,1,lncRNA,chr10,1
CDH23,1,protein_coding,chr10,1
LOC105378356,1,lncRNA,chr10,1
CDH23-AS1,1,lncRNA,chr10,1
LOC105378355,1,lncRNA,chr10,1
C10orf105,1,protein_coding,chr10,1
VSIR,1,protein_coding,chr10,1
MIR7152,1,miRNA,chr10,1
LOC124902446,1,lncRNA,chr10,1
PSAP,1,protein_coding,chr10,1
LOC124902447,1,lncRNA,chr10,1
CHST3,1,protein_coding,chr10,1
LOC124902448,1,lncRNA,chr10,1
SPOCK2,1,protein_coding,chr10,1
ASCC1,1,protein_coding,chr10,1
LOC124902572,1,snoRNA,chr10,1
RPL15P14,1,pseudogene,chr10,1
ANAPC16,1,protein_coding,chr10,1
LOC124902449,1,lncRNA,chr10,1
DDIT4,1,protein_coding,chr10,1
DNAJB12,1,protein_coding,chr10,1
MICU1,1,protein_coding,chr10,1
RNU6-805P,1,pseudogene,chr10,1
SNX19P4,1,pseudogene,chr10,1
RN7SL840P,1,pseudogene,chr10,1
HMGN2P34,1,pseudogene,chr10,1
MCU,1,protein_coding,chr10,1
MIR4676,1,miRNA,chr10,1
LOC124902450,1,lncRNA,chr10,1
OIT3,1,protein_coding,chr10,1
NPM1P24,1,pseudogene,chr10,1
PLA2G12B,1,protein_coding,chr10,1
LOC124902451,1,lncRNA,chr10,1
RPL17P50,1,pseudogene,chr10,1
P4HA1,1,protein_coding,chr10,1
NUDT13,1,protein_coding,chr10,1
SNORA11F,1,snoRNA,chr10,1
ECD,1,protein_coding,chr10,1
LOC124902452,1,lncRNA,chr10,1
FAM149B1,1,protein_coding,chr10,1
LOC105378358,1,lncRNA,chr10,1
EIF4A2P2,1,pseudogene,chr10,1
DNAJC9,1,protein_coding,chr10,1
DNAJC9-AS1,1,lncRNA,chr10,1
MRPS16,1,protein_coding,chr10,1
CFAP70,1,protein_coding,chr10,1
RNU6-833P,1,pseudogene,chr10,1
LOC124902577,1,snoRNA,chr10,1
ANXA7,1,protein_coding,chr10,1
RPL26P6,1,pseudogene,chr10,1
MSS51,1,protein_coding,chr10,1
PPP3CB,1,protein_coding,chr10,1
PPP3CB-AS1,1,lncRNA,chr10,1
USP54,1,protein_coding,chr10,1
RNU6-883P,1,pseudogene,chr10,1
RPS26P41,1,pseudogene,chr10,1
MYOZ1,1,protein_coding,chr10,1
SYNPO2L,1,protein_coding,chr10,1
SYNPO2L-AS1,1,lncRNA,chr10,1
BMS1P4-AGAP5,1,transcribed_pseudogene,chr10,1
AGAP5,1,protein_coding,chr10,1
BMS1P4,1,transcribed_pseudogene,chr10,1
RNA5SP320,1,pseudogene,chr10,1
GLUD1P3,1,transcribed_pseudogene,chr10,1
DUSP8P5,1,pseudogene,chr10,1
LOC124902453,1,lncRNA,chr10,1
SEC24C,1,protein_coding,chr10,1
FUT11,1,protein_coding,chr10,1
LOC107984243,1,lncRNA,chr10,1
CHCHD1,1,protein_coding,chr10,1
ZSWIM8,1,protein_coding,chr10,1
ZSWIM8-AS1,1,lncRNA,chr10,1
NDST2,1,protein_coding,chr10,1
CAMK2G,1,protein_coding,chr10,1
LOC124902454,1,lncRNA,chr10,1
PLAU,1,protein_coding,chr10,1
C10orf55,1,lncRNA,chr10,1
VCL,1,protein_coding,chr10,1
LOC124902455,1,lncRNA,chr10,1
LOC124902458,1,lncRNA,chr10,1
AP3M1,1,protein_coding,chr10,1
ADK,1,protein_coding,chr10,1
LOC124902456,1,lncRNA,chr10,1
TIMM9P1,1,pseudogene,chr10,1
RPSAP6,1,pseudogene,chr10,1
RAB5CP1,1,pseudogene,chr10,1
LOC102723439,1,lncRNA,chr10,1
MRPL35P3,1,pseudogene,chr10,1
LOC124902457,1,lncRNA,chr10,1
NDUFA8P1,1,pseudogene,chr10,1
POLR3DP1,1,pseudogene,chr10,1
FAM32CP,1,pseudogene,chr10,1
LOC124902459,1,lncRNA,chr10,1
KAT6B,1,protein_coding,chr10,1
SNORD172,1,snoRNA,chr10,1
DUSP29,1,protein_coding,chr10,1
PPIAP13,1,pseudogene,chr10,1
DUSP13,1,protein_coding,chr10,1
SAMD8,1,protein_coding,chr10,1
LOC124902460,1,lncRNA,chr10,1
RPS26P42,1,pseudogene,chr10,1
VDAC2,1,protein_coding,chr10,1
COMTD1,1,protein_coding,chr10,1
RPL39P25,1,pseudogene,chr10,1
HMGA1P5,1,pseudogene,chr10,1
ZNF503,1,protein_coding,chr10,1
ZNF503-AS1,1,lncRNA,chr10,1
SPA17P1,1,pseudogene,chr10,1
LOC124902461,1,protein_coding,chr10,1
ZNF503-AS2,1,lncRNA,chr10,1
LOC101929234,1,lncRNA,chr10,1
LOC107984293,1,lncRNA,chr10,1
LRMDA,1,protein_coding,chr10,1
MIR606,1,miRNA,chr10,1
LOC105378367,1,lncRNA,chr10,1
LOC124902463,1,lncRNA,chr10,1
RN7SL518P,1,pseudogene,chr10,1
RNU6-673P,1,pseudogene,chr10,1
LOC124902462,1,lncRNA,chr10,1
LOC112268057,1,lncRNA,chr10,1
ATP5MC1P8,1,pseudogene,chr10,1
KCNMA1,1,protein_coding,chr10,1
KCNMA1-AS1,1,lncRNA,chr10,1
LOC124902466,1,lncRNA,chr10,1
KCNMA1-AS2,1,lncRNA,chr10,1
KCNMA1-AS3,1,lncRNA,chr10,1
COX6CP15,1,pseudogene,chr10,1
LOC124902464,1,lncRNA,chr10,1
RNA5SP321,1,pseudogene,chr10,1
LOC124902465,1,lncRNA,chr10,1
LOC105378372,1,lncRNA,chr10,1
LOC399783,1,pseudogene,chr10,1
RBBP6P1,1,pseudogene,chr10,1
RNU6-1266P,1,pseudogene,chr10,1
IMPDH1P5,1,pseudogene,chr10,1
DLG5,1,protein_coding,chr10,1
LOC101929347,1,lncRNA,chr10,1
RN7SL284P,1,pseudogene,chr10,1
DLG5-AS1,1,lncRNA,chr10,1
H2AZP5,1,pseudogene,chr10,1
POLR3A,1,protein_coding,chr10,1
RPS24,1,protein_coding,chr10,1
GNAI2P2,1,pseudogene,chr10,1
LOC105378375,1,lncRNA,chr10,1
LOC124902467,1,lncRNA,chr10,1
LINC00856,1,lncRNA,chr10,1
LINC00595,1,lncRNA,chr10,1
LOC124902468,1,lncRNA,chr10,1
LOC124902568,1,pseudogene,chr10,1
LOC107984245,1,lncRNA,chr10,1
LOC105378378,1,lncRNA,chr10,1
LOC107984246,1,lncRNA,chr10,1
LOC105378379,1,lncRNA,chr10,1
ZMIZ1-AS1,1,lncRNA,chr10,1
LOC112268062,1,lncRNA,chr10,1
ZMIZ1,1,protein_coding,chr10,1
PPIF,1,protein_coding,chr10,1
ZCCHC24,1,protein_coding,chr10,1
LOC105378383,1,lncRNA,chr10,1
TPRX1P1,1,pseudogene,chr10,1
LOC729815,1,lncRNA,chr10,1
EIF5AL1,1,protein_coding,chr10,1
LOC124902470,2,lncRNA,chr10,1
RPS12P18,1,pseudogene,chr10,1
SFTPA2,1,protein_coding,chr10,1
MBL3P,1,pseudogene,chr10,1
SFTPA3P,1,pseudogene,chr10,1
LOC124902469,1,lncRNA,chr10,1
SFTPA1,1,protein_coding,chr10,1
LINC02679,1,lncRNA,chr10,1
LOC124900288,1,lncRNA,chr10,1
BEND3P3,1,transcribed_pseudogene,chr10,1
NUTM2B-AS1,1,lncRNA,chr10,1
NUTM2B,1,protein_coding,chr10,1
LOC642361,1,lncRNA,chr10,1
NUTM2E,1,protein_coding,chr10,1
LOC100421010,2,pseudogene,chr10,1
NPAP1P2,1,pseudogene,chr10,1
CTSLP6,1,pseudogene,chr10,1
PGGT1BP2,1,pseudogene,chr10,1
BMS1P21,1,transcribed_pseudogene,chr10,1
MBL1P,1,transcribed_pseudogene,chr10,1
SFTPD,1,protein_coding,chr10,1
ZNRF2P3,1,pseudogene,chr10,1
DPY19L2P5,1,pseudogene,chr10,1
C1DP3,1,pseudogene,chr10,1
C1DP2,1,pseudogene,chr10,1
C1DP4,1,pseudogene,chr10,1
TMEM254-AS1,1,lncRNA,chr10,1
TMEM254,1,protein_coding,chr10,1
RPL22P18,1,pseudogene,chr10,1
PLAC9,1,protein_coding,chr10,1
ANXA11,1,protein_coding,chr10,1
LINC00857,1,lncRNA,chr10,1
RPS12P2,1,pseudogene,chr10,1
EIF5AP4,1,pseudogene,chr10,1
LOC100130698,1,lncRNA,chr10,1
MAT1A,1,protein_coding,chr10,1
ZNF519P1,1,pseudogene,chr10,1
DYDC1,1,protein_coding,chr10,1
DYDC2,1,protein_coding,chr10,1
PRXL2A,1,protein_coding,chr10,1
TSPAN14,1,protein_coding,chr10,1
LOC124902471,1,lncRNA,chr10,1
TSPAN14-AS1,1,lncRNA,chr10,1
SH2D4B,1,protein_coding,chr10,1
LOC105378387,1,lncRNA,chr10,1
LINC02655,1,lncRNA,chr10,1
RPS7P9,1,pseudogene,chr10,1
FARSBP1,1,pseudogene,chr10,1
WARS2P1,1,pseudogene,chr10,1
RPA2P2,1,pseudogene,chr10,1
LOC105378390,1,lncRNA,chr10,1
LOC124902549,1,lncRNA,chr10,1
NRG3,1,protein_coding,chr10,1
LOC124902472,1,lncRNA,chr10,1
NRG3-AS1,1,lncRNA,chr10,1
RNU6-441P,1,pseudogene,chr10,1
RNU6-478P,1,pseudogene,chr10,1
LOC107984187,1,lncRNA,chr10,1
LOC105378392,1,lncRNA,chr10,1
MARK2P15,1,pseudogene,chr10,1
LOC105378394,1,lncRNA,chr10,1
LOC105378393,1,lncRNA,chr10,1
LOC105378396,1,lncRNA,chr10,1
LINC02650,1,lncRNA,chr10,1
RNU6-129P,1,pseudogene,chr10,1
LOC107984181,1,lncRNA,chr10,1
LOC105378398,1,lncRNA,chr10,1
LOC105378399,1,lncRNA,chr10,1
RNU1-65P,1,pseudogene,chr10,1
HMGN2P8,1,pseudogene,chr10,1
GHITM,1,protein_coding,chr10,1
CERNA2,1,lncRNA,chr10,1
C10orf99,1,protein_coding,chr10,1
CDHR1,1,protein_coding,chr10,1
LRIT2,1,protein_coding,chr10,1
LRIT1,1,protein_coding,chr10,1
RGR,1,protein_coding,chr10,1
LINC00858,1,lncRNA,chr10,1
CCSER2,1,protein_coding,chr10,1
RPL12P29,1,pseudogene,chr10,1
TNPO1P1,1,pseudogene,chr10,1
CACYBPP1,1,pseudogene,chr10,1
RPS3AP5,1,pseudogene,chr10,1
LOC124902550,1,lncRNA,chr10,1
LOC105378400,1,lncRNA,chr10,1
LOC107984249,1,lncRNA,chr10,1
LOC105378401,1,lncRNA,chr10,1
LINC01519,1,lncRNA,chr10,1
LOC105378402,1,lncRNA,chr10,1
LOC105378403,1,lncRNA,chr10,1
LINC02647,1,lncRNA,chr10,1
LOC101929662,1,lncRNA,chr10,1
LINC01520,1,lncRNA,chr10,1
LOC105378404,1,lncRNA,chr10,1
RNU6-325P,1,pseudogene,chr10,1
GRID1-AS1,1,lncRNA,chr10,1
GRID1,1,protein_coding,chr10,1
RN7SKP238,1,pseudogene,chr10,1
RNA5SP322,1,pseudogene,chr10,1
MIR346,1,miRNA,chr10,1
LOC124902473,1,lncRNA,chr10,1
WAPL,1,protein_coding,chr10,1
RNU6-780P,1,pseudogene,chr10,1
LOC105378408,1,lncRNA,chr10,1
LOC105378407,1,lncRNA,chr10,1
LOC105378406,1,lncRNA,chr10,1
RPL7AP8,1,pseudogene,chr10,1
OPN4,1,protein_coding,chr10,1
LOC105378409,1,lncRNA,chr10,1
LDB3,1,protein_coding,chr10,1
BMPR1A,1,protein_coding,chr10,1
RPAP2P1,1,pseudogene,chr10,1
RNU1-19P,1,pseudogene,chr10,1
MMRN2,1,protein_coding,chr10,1
SNCG,1,protein_coding,chr10,1
ADIRF-AS1,1,lncRNA,chr10,1
ADIRF,1,protein_coding,chr10,1
AGAP11,1,lncRNA,chr10,1
LOC124902474,1,protein_coding,chr10,1
BMS1P3,1,pseudogene,chr10,1
FAM25A,1,protein_coding,chr10,1
RNU6-529P,1,pseudogene,chr10,1
GLUD1,1,protein_coding,chr10,1
SHLD2,1,protein_coding,chr10,1
RN7SL733P,1,pseudogene,chr10,1
LOC124902475,1,lncRNA,chr10,1
LOC105378410,1,lncRNA,chr10,1
NUTM2A,1,protein_coding,chr10,1
NUTM2A-AS1,1,lncRNA,chr10,1
LINC00863,1,lncRNA,chr10,1
NUTM2D,1,protein_coding,chr10,1
NPAP1P3,1,pseudogene,chr10,1
CTSLP1,1,pseudogene,chr10,1
FAM245A,1,lncRNA,chr10,1
LOC112268063,1,lncRNA,chr10,1
LOC112268064,1,lncRNA,chr10,1
MIR4678,1,miRNA,chr10,1
MINPP1,1,protein_coding,chr10,1
LOC105378412,1,lncRNA,chr10,1
RPS26P38,1,pseudogene,chr10,1
PAPSS2,1,protein_coding,chr10,1
ATAD1,1,protein_coding,chr10,1
LOC124902476,1,lncRNA,chr10,1
CFL1P1,1,transcribed_pseudogene,chr10,1
RN7SL78P,1,pseudogene,chr10,1
KLLN,1,protein_coding,chr10,1
PTEN,1,protein_coding,chr10,1
RPL11P3,1,pseudogene,chr10,1
LOC124900295,1,snoRNA,chr10,1
LOC105378414,1,lncRNA,chr10,1
MED6P1,1,pseudogene,chr10,1
LOC105378415,1,lncRNA,chr10,1
LOC105378416,1,lncRNA,chr10,1
LOC101929727,1,lncRNA,chr10,1
RNLS,1,protein_coding,chr10,1
VN1R55P,1,pseudogene,chr10,1
LIPJ,1,protein_coding,chr10,1
RPL7P34,1,pseudogene,chr10,1
LIPF,1,protein_coding,chr10,1
NAPGP1,1,pseudogene,chr10,1
LIPK,1,protein_coding,chr10,1
KRT8P38,1,pseudogene,chr10,1
LIPN,1,protein_coding,chr10,1
RCBTB2P1,1,pseudogene,chr10,1
LIPM,1,protein_coding,chr10,1
ANKRD22,1,protein_coding,chr10,1
PTCD2P2,1,pseudogene,chr10,1
LOC124902551,1,protein_coding,chr10,1
STAMBPL1,1,protein_coding,chr10,1
ACTA2-AS1,1,lncRNA,chr10,1
ACTA2,1,protein_coding,chr10,1
FAS,1,protein_coding,chr10,1
FAS-AS1,1,lncRNA,chr10,1
LOC124902587,1,snoRNA,chr10,1
MIR4679-2,1,miRNA,chr10,1
MIR4679-1,1,miRNA,chr10,1
LOC124902552,1,lncRNA,chr10,1
LOC100289238,1,pseudogene,chr10,1
LOC105378418,1,lncRNA,chr10,1
CH25H,1,protein_coding,chr10,1
LIPA,1,protein_coding,chr10,1
LOC124902477,1,lncRNA,chr10,1
LOC105378419,1,lncRNA,chr10,1
IFIT2,1,protein_coding,chr10,1
IFIT3,1,protein_coding,chr10,1
LOC101926887,1,lncRNA,chr10,1
IFIT6P,1,pseudogene,chr10,1
IFIT1B,1,protein_coding,chr10,1
IFIT1,1,protein_coding,chr10,1
LOC107984251,1,lncRNA,chr10,1
IFIT5,1,protein_coding,chr10,1
SLC16A12,1,protein_coding,chr10,1
SLC16A12-AS1,1,lncRNA,chr10,1
PANK1,1,protein_coding,chr10,1
MIR107,1,miRNA,chr10,1
PANK1-AS1,1,lncRNA,chr10,1
FLJ37201,1,transcribed_pseudogene,chr10,1
KIF20B,1,protein_coding,chr10,1
MTND5P42,1,pseudogene,chr10,1
LOC105378424,1,lncRNA,chr10,1
LINC00865,1,lncRNA,chr10,1
MARK2P16,1,pseudogene,chr10,1
LINC01374,1,lncRNA,chr10,1
LINC01375,1,lncRNA,chr10,1
SNRPD2P1,1,pseudogene,chr10,1
RN7SKP143,1,pseudogene,chr10,1
LOC105378426,1,lncRNA,chr10,1
LINC02653,1,lncRNA,chr10,1
LOC124902478,1,lncRNA,chr10,1
HTR7,1,protein_coding,chr10,1
RPP30,1,protein_coding,chr10,1
ANKRD1,1,protein_coding,chr10,1
RNU6-740P,1,pseudogene,chr10,1
XLOC_008559,1,lncRNA,chr10,1
LOC107984252,1,lncRNA,chr10,1
LOC124902479,1,lncRNA,chr10,1
LOC105378430,1,lncRNA,chr10,1
LINC00502,1,lncRNA,chr10,1
DDX18P6,1,pseudogene,chr10,1
LOC105378429,1,lncRNA,chr10,1
LOC124902481,1,lncRNA,chr10,1
NUDT9P1,1,transcribed_pseudogene,chr10,1
PCGF5,1,protein_coding,chr10,1
LOC124902480,1,lncRNA,chr10,1
HECTD2-AS1,1,lncRNA,chr10,1
HECTD2,1,protein_coding,chr10,1
RPS27P1,1,pseudogene,chr10,1
LOC105378433,1,lncRNA,chr10,1
PPP1R3C,1,protein_coding,chr10,1
GAPDHP28,1,pseudogene,chr10,1
LOC107984253,1,lncRNA,chr10,1
FAF2P1,1,pseudogene,chr10,1
LOC124902482,1,lncRNA,chr10,1
TNKS2-DT,1,lncRNA,chr10,1
TNKS2,1,protein_coding,chr10,1
SRP9P1,1,pseudogene,chr10,1
FGFBP3,1,protein_coding,chr10,1
BTAF1,1,protein_coding,chr10,1
CPEB3,1,protein_coding,chr10,1
LOC107984254,1,lncRNA,chr10,1
SDHCP2,1,pseudogene,chr10,1
EIF4A1P8,1,pseudogene,chr10,1
NHP2P1,1,pseudogene,chr10,1
LOC124902483,1,lncRNA,chr10,1
MARCHF5,1,protein_coding,chr10,1
RNY3P12,1,pseudogene,chr10,1
MARK2P9,1,transcribed_pseudogene,chr10,1
LOC124902484,1,lncRNA,chr10,1
IDE,1,protein_coding,chr10,1
KIF11,1,protein_coding,chr10,1
RPL11P4,1,pseudogene,chr10,1
